domain,category,company_size,email_provider,confidence,other_industry_category,website,website_status,website_reason
mds-fund.com,Professional Services,50 to 100,No,95,N/A,much_info,reachable,200
fivestarpropertymanagement.com.au,Real Estate and Property Management,1 to 5,No,95,N/A,much_info,reachable,200
thescalefactory.net,Professional Services,20 to 50,No,95,N/A,much_info,reachable,200
satsportnews.com,Other,1 to 5,No,78,Sports News and Media,much_info,reachable,200
monee.ai,Financial Service,50 to 100,No,95,N/A,much_info,reachable,200
eliptis.se,Technology and Software Development,1 to 5,No,85,N/A,little_info,reachable,200
msxi.com,Professional Services,500+,No,95,N/A,much_info,reachable,200
retailinsight.io,Technology and Software Development,500+,No,95,N/A,much_info,reachable,200
xebo.ai,Technology and Software Development,100 to 200,No,95,N/A,much_info,reachable,200
lsports.eu,Technology and Software Development,200 to 500,No,95,N/A,much_info,reachable,200
